"This dataset is calculated by geodynamic software ASPECT, with pyrolite properties generated by thermodynamic software HEFESTO",
Depth(m),Temperature(K)
1562.5,312.638
4687.5,351.988
7812.5,391.188
10937.5,430.27
14062.5,469.196
17187.5,508.002
20312.5,545.356
23437.5,581.899
26562.5,620.406
29687.5,658.576
32812.5,696.284
35937.5,733.482
39062.5,770.136
42187.5,806.203
45312.5,841.646
48437.5,876.434
51562.5,910.53
54687.5,943.906
57812.5,976.537
60937.5,1008.54
64062.5,1045.73
67187.5,1088.76
70312.5,1118.81
73437.5,1147.21
76562.5,1174.82
79687.5,1201.56
82812.5,1227.46
85937.5,1252.48
89062.5,1276.62
92187.5,1299.89
95312.5,1322.29
98437.5,1343.81
101562,1364.49
104688,1384.3
107812,1403.29
110938,1421.45
114062,1438.8
117188,1455.37
120312,1471.15
123438,1486.19
126562,1500.49
129688,1514.08
132812,1526.98
135938,1539.22
139062,1550.81
142188,1561.77
145312,1572.15
148438,1581.94
151562,1591.2
154688,1599.92
157812,1608.15
160938,1615.9
164062,1623.19
167188,1630.05
170312,1636.51
173438,1642.58
176562,1648.29
